troop,black_16plus,white_16plus,hispanic_16plus,native_american_16plus,asian_pacific_islander_16plus,total_16plus,black_pct,white_pct,hispanic_pct,native_american_pct,asian_pacific_islander_pct
Troop A,219972,375001,25099,1334,14341,635747,34.6,59,3.9,0.2,2.3
Troop B,114661,248173,53768,2392,16750,435744,26.3,57,12.3,0.5,3.8
Troop C,41206,135930,7969,6036,1688,192829,21.4,70.5,4.1,3.1,0.9
Troop D,47524,165847,8777,916,2811,225875,21,73.4,3.9,0.4,1.2
Troop E,70421,176564,10297,2701,2909,262892,26.8,67.2,3.9,1,1.1
Troop F,94147,160497,6077,608,2242,263571,35.7,60.9,2.3,0.2,0.9
Troop G,135415,194113,11866,1302,4688,347384,39,55.9,3.4,0.4,1.3
Troop I,123285,321610,17895,1389,7694,471873,26.1,68.2,3.8,0.3,1.6
Troop L,65622,251867,16485,1701,4505,340180,19.3,74,4.8,0.5,1.3
Troop NOLA,168576,102504,15881,736,9194,296891,56.8,34.5,5.3,0.2,3.1
