citizen_race,use_of_force_by_citizen,agency,uof_uid,tracking_id,incident_year,incident_month,incident_day,citizen_uid,department_desc
white,,louisiana-state-pd,e5b838404fbb747ccd93fe11a15ef88d,684f007bba648665056798305d270150,2022,12,2,0d8d2007916990b733eed8e125bac3e2,troop e
white,,louisiana-state-pd,94131b8ef182d1a175f0cc915ebb9024,684f007bba648665056798305d270150,2022,12,2,5f93fa9cdd743f5a4d090764391aa547,troop e
hispanic,pursuit only,louisiana-state-pd,a688ac49e91fddfdd7a78e89d795e603,05e3ba57ddaa61c07438bc1afc7a0084,2022,12,9,c9515a0ddd0640216a79a66de04de528,troop a
black,pursuit only,louisiana-state-pd,8a379d2c3056f7ebe80e0e78d572b937,dff6678a012f8e553aa1c929d33384df,2022,8,5,c8a7c8e280f424400735887aa8103127,troop d
black,pursuit only,louisiana-state-pd,00a173c13e73f57afd473d91296b55ee,069a7a13fbb4d8b072c3abfb1f4ec4d2,2022,3,2,f975cbe7956c26404145becb9a6b5802,troop a
black,pursuit only,louisiana-state-pd,c0514609d346497c3b3c1be10ae390cd,069a7a13fbb4d8b072c3abfb1f4ec4d2,2022,3,2,f27a290210115a6826d9c08623729c18,troop a
black,pursuit only,louisiana-state-pd,488dad01159d19634d5c830e2e0db746,069a7a13fbb4d8b072c3abfb1f4ec4d2,2022,3,2,f911878b2df20cdfba80e3285202a20a,troop a
black,pursuit only,louisiana-state-pd,d735856642bb4c8e37f557db714809f6,069a7a13fbb4d8b072c3abfb1f4ec4d2,2022,3,2,8c6c7aa791e1102f1e0a1db50e754f0a,troop a
black,pursuit only,louisiana-state-pd,12f6a11f318dee19cca78e24dabc8f5b,6470ffc8eacf5628eab7e7ba2d56ed6b,2022,9,3,478132782434edc53914f96be18a00a8,troop a
white,pursuit only,louisiana-state-pd,632ab17e47940fb99ca2020f8922fa7f,660722c8e4912bc9f413f3ab5de65007,2022,6,5,2531cd70f82fef95c641b5ed361029a6,troop i
black,pursuit only,louisiana-state-pd,a86d0a4a09755291170ebc67c694fb76,1ba4924fe08c2dd1e4fcd01b687043a3,2022,5,21,1cdeb16974faca4cc625b9a85209a877,troop g
white,pursuit only,louisiana-state-pd,9df05f27208274be0b3f2ee2403409c5,a74919351a6f054732d8be6e88aaa606,2022,5,27,cd2a427cee70f7d4b2277483d97ae659,troop g
white,pursuit only,louisiana-state-pd,c7fbd4dcb209341257b081b7d7b560d4,b6af8678e4c2a0c7a606701ca7115803,2022,8,21,5224520d235b5e92edf370e014200614,troop g
black,,louisiana-state-pd,4beb48ad98fe8c8668445719fb58e09d,1bd7977ed16e1a8ece165c5c212981db,2022,9,19,40a2d885b891e389b7b227547969622e,troop g
black,pursuit only,louisiana-state-pd,829671e5215f74c0128c9c58dbb9d583,7c3d29fcff111c41b97e27a84cd5bd31,2022,10,4,2a2924bd4ef31f1d2c691e7923a9d7af,troop e
black,pursuit only,louisiana-state-pd,c242ba7616e41de8347f040d3b5c3ba1,7c3d29fcff111c41b97e27a84cd5bd31,2022,10,4,84fd626d9dff0a875af98b7e0298c1e3,troop e
black,pursuit only,louisiana-state-pd,d564b21bcd0dbdb50794ab2ef54925a5,a683379f50d2e006c964063043759e03,2022,9,4,019f502b5e53c11050e784eb27f9960f,troop a
black,pursuit only,louisiana-state-pd,92dd9964ccf44713c2edc94ee8d42148,afcd36b3505ca4626d162e6f1574d765,2022,12,10,9932b29c37b353b4fdb88bc68d2476d0,troop a
black,pursuit only,louisiana-state-pd,9f30a663c55f7c87651dc9ad54de3bf5,37e7ff3c38dfcd68cbceddb74444d730,2022,3,17,98dfba963240666e70ba11af7aa5d6ba,troop l
white,pursuit only,louisiana-state-pd,79c10ffeeba51512876111c41c7a1e18,e3be09aaba5d70dd57bed77f6f4fcdae,2022,7,3,6ba516268a1fbc1b571aae528440fe2b,troop l
white,pursuit only,louisiana-state-pd,f828b13eb44cc2d6f82ed739be68807e,8059d42a66a3294dc40e5a84cd71ad81,2022,11,19,11224a0e9be146841039ad7fb3aa61f6,troop l
white,pursuit only,louisiana-state-pd,b5f039b33b107fa4b6605c3459ec8c67,8059d42a66a3294dc40e5a84cd71ad81,2022,11,19,7c3a17dae25814e4fe38c2ef8f2dd6a8,troop l
white,pursuit only,louisiana-state-pd,5876dc3483f958249740a6b3547fa0be,8059d42a66a3294dc40e5a84cd71ad81,2022,11,19,59f44c07f07d1756960f4643d77a7920,troop l
asian / pacific islander,"other use of hands, fists, feet, etc.",louisiana-state-pd,69a44b9f1c3cb3965b974be8894f1492,c3141b4b21071cae27dbb271aff7186f,2022,9,18,7e243107ae1e80139397ee20a779f066,troop d
asian / pacific islander,"other use of hands, fists, feet, etc.",louisiana-state-pd,c0d030d89c36bcf0b917b72f765e850a,c3141b4b21071cae27dbb271aff7186f,2022,9,18,7d271a7f7591d8b83511b38c9a73fa13,troop d
white,other dangerous weapon,louisiana-state-pd,2c3578239060e874b895d6057587f67b,72a5480b7594f5fbe6edaaa9afedec7d,2022,10,18,c6268ce4a886351eeb721bfb65a1a1e0,troop d
white,other dangerous weapon,louisiana-state-pd,59e503a94eb768bc055b27cee678d62a,72a5480b7594f5fbe6edaaa9afedec7d,2022,10,18,2a3ed7ab8b7c4f659bbc5fc4fa58a0f6,troop d
white,other dangerous weapon,louisiana-state-pd,3041781d847065b6e928aef09faac524,72a5480b7594f5fbe6edaaa9afedec7d,2022,10,18,6ce9a831bc01a00b527284277c46b9d6,troop d
black,pursuit only,louisiana-state-pd,f226fe3e0d4415fc40f8f8851372822b,16a0b6280d97406aa00462c0946a45c0,2022,2,24,52ed07c98ff694b74d5a3d4750ec46eb,troop g
black,pursuit only,louisiana-state-pd,0d1b1744f80316802a35fe7f9d98d20a,16a0b6280d97406aa00462c0946a45c0,2022,2,24,fc8f61cdf3f696ee8f33df5f4153c04d,troop g
black,pursuit only,louisiana-state-pd,ba15bea4f76a743ff4b1eb3ceebff8ae,16a0b6280d97406aa00462c0946a45c0,2022,2,24,d63a122dc3484b9919a54949ed8e4629,troop g
black,,louisiana-state-pd,30b49869e1e08a9f67250450a4f6e97c,9e536be254c9c63ea01772798e2b740e,2022,2,11,418d5f17a5bdda340658835d191e34fb,troop d
black,pursuit only,louisiana-state-pd,b05e791d6b4e447295bd1486bf6c2ede,b068d385bc35d3443b46cf2f32d4505a,2022,1,30,256088f3f6352a3906385e2b0aa64c77,troop c
black,pursuit only,louisiana-state-pd,efaf212d4321387db44f3ddc02bedf8f,b068d385bc35d3443b46cf2f32d4505a,2022,1,30,b7d4b0b245c4ba79b100503f646e4309,troop c
black,vehicle contact,louisiana-state-pd,fdeb22705ef5148a20da5df4c59d4151,c5e18d7bb42dfa216930f51edc99e9c9,2022,1,1,90b0b8e30e7fda5ff98771954ea7c255,troop a
black,vehicle contact,louisiana-state-pd,060e0691aa683d94ca4f9f12f24ebe45,c5e18d7bb42dfa216930f51edc99e9c9,2022,1,1,3bdc0106dfb9c28c95b5062922bb257f,troop a
black,,louisiana-state-pd,c9455100a8ce0f5b88a84c6d8952bfa3,5dd189bd5baf6df896a91139dc3dcaf7,2022,6,4,f002d9f15d2fc2b3670c395362546b40,troop c
black,pursuit only,louisiana-state-pd,9dc834872fb81c3e06e9fc4be9476c52,22a05d7f1aa8ddcfb4d5083f7fd7ba54,2022,8,25,a3ef89eb296ba0d8da451378575b1236,troop c
white,,louisiana-state-pd,6e7f6b88f1a4908ef7bc71c776489365,8ca4529776c28eeba355e9c71a04d574,2022,2,27,373e9df9829f9c153bed6e188bbe1695,troop nola
white,,louisiana-state-pd,6371aabf4def63e03118e66260914b27,8ca4529776c28eeba355e9c71a04d574,2022,2,27,9cea1a9175e491b265afa8f4a36ca387,troop nola
white,,louisiana-state-pd,df38cd86977e89e8325de08255c1be69,8ca4529776c28eeba355e9c71a04d574,2022,2,27,54bf933308be44e0bbf4d1f374b2a9dd,troop nola
white,,louisiana-state-pd,db13b83eab4c17a9af4960064534911d,8ca4529776c28eeba355e9c71a04d574,2022,2,27,5899f9925301363c6170103119da0a6e,troop nola
black,,louisiana-state-pd,6e7f6b88f1a4908ef7bc71c776489365,8ca4529776c28eeba355e9c71a04d574,2022,2,27,f24ea0ac037551e579914137256c1574,troop nola
black,,louisiana-state-pd,6371aabf4def63e03118e66260914b27,8ca4529776c28eeba355e9c71a04d574,2022,2,27,4bb7a9da481477b4b99e55b73bfea6b9,troop nola
black,,louisiana-state-pd,df38cd86977e89e8325de08255c1be69,8ca4529776c28eeba355e9c71a04d574,2022,2,27,e0148e46c75d797407b745afce40e524,troop nola
black,,louisiana-state-pd,db13b83eab4c17a9af4960064534911d,8ca4529776c28eeba355e9c71a04d574,2022,2,27,283b01a58c901e2cd231f90b37c2de3c,troop nola
black,,louisiana-state-pd,23816a3fccbb001caf961ca5890306d6,f8398277ac84956ef4d7a835c787f53f,2022,3,1,394cccfdad222768ed96bf84b448bd22,troop nola
black,,louisiana-state-pd,45efd88d5b057f24e3f0c3f1b0e0b65c,f8398277ac84956ef4d7a835c787f53f,2022,3,1,21c40e875832aa22a05f50db31896b44,troop nola
black,,louisiana-state-pd,1b94be140fa1b5617ce44166da7ff567,f8398277ac84956ef4d7a835c787f53f,2022,3,1,4e66f4f033568556080486aa5c77db87,troop nola
black,,louisiana-state-pd,af38450e30f00ab03cc0322d9c4466b8,f8398277ac84956ef4d7a835c787f53f,2022,3,1,326f88ec0301980b6d812854e80f4294,troop nola
black,,louisiana-state-pd,042cd467cf7bdfd5a6a16e3397936bf6,f8398277ac84956ef4d7a835c787f53f,2022,3,1,d715e00a9dfcfbf76a7511564cae2df5,troop nola
,pursuit only,louisiana-state-pd,2d49dac7214a89225a908091ec69b328,6822c2c66ad4dfa488992998ace5148f,2022,12,30,2a310767b34245684f6cc715a9062e24,troop c
black,pursuit only,louisiana-state-pd,869a608bf2ee7564810ff3274efc6362,d3e033fe5311be5d8195b4989a9214d8,2022,3,19,7f80c76fad6485fbafdb5b653b7a5d1f,troop b
black,pursuit only,louisiana-state-pd,c35aa5cc927447efbf147ea805432c88,d741c2f19460a1271e9f3f7b4a2974f1,2022,9,27,60fcc3f86b7b66b0c3506161623ad227,troop c
black,pursuit only,louisiana-state-pd,0ad85c7cb91f238b7de43c9bda83033e,3ff6d019b15131a793db86e0e37827c2,2022,12,17,d7711d7d32792fc977a05cc01721a1c9,troop e
asian / pacific islander,"other use of hands, fists, feet, etc.",louisiana-state-pd,dc8db3bd519b19dd3ead3ad3be17514d,47f79cc35a38eb57b50315a983b6ee7f,2022,4,19,858a338c7992df31c9532224b72cb352,troop a
asian / pacific islander,"other use of hands, fists, feet, etc.",louisiana-state-pd,8ee775edf8db815d310902e130c01c3b,47f79cc35a38eb57b50315a983b6ee7f,2022,4,19,e706d716b11288d04bfa92299b6919e7,troop a
